Nama Produk,Harga Produk,Nama Toko,Lokasi,Terjual,Rating
Baso Aci & Seblak Home Made,5500,Rodhi snack,Kab. Nganjuk,17,5.0
cemilan SEBLAK KARI PEDAS 65gr,4500,oke snack,Jakarta Selatan,100,4.8
seblak baso aci cuanki & seblak 9pcs,35000,TigoSadulur,Kab. Tangerang,6,5.0
cuanki lidah 50 pcs enak toping seblak baso aci,12999,CuankiCulametan,Kab. Garut,250,4.9
Keripik Singkong Balado Christine Hakim,36000,Pisang Goreng Madu Bu Nanik,Jakarta Barat,2000,4.9
 Kylafood Paket 4 Seblak Original 1 Batagor,91600,kylafood,Bandung,1000,4.9
Kylafood Paket 2 Seblak Original 3 Batagor Kuah,102800,kylafood,Bandung,250,4.9
Kylafood Paket (3 Seblak Original 2 Batagor kuah) ,97200,kylafood,Bandung,3000,4.9
Cuanki lidah murah kiloan isi 150 toping seblak baso aci,33699,CuankiCulametan,Kab. Garut,100,4.9
Gurilem Sangarrr,13000,The Little Snacks,Tangerang Selatan,1000,4.8
Cuanki tahu atau batagor kering kiloan murah isi 150 seblak baso aci,32900,CuankiCulametan,Kab. Garut,100,4.9
Gurilem Pedas,18500,Bite and Munch,Bandung,100,4.8
Basreng Sangarrr,18900,The Little Snacks,Tangerang Selatan,3000,4.8
Bakso Aci Instan Murah Asli Bandung Frozen Baso Cilok Kuah Kenyang,5997,Berkah Food Bandung,Cimahi,10000,4.9
LepLep - Basreng,9000,101_Project,Tangerang,250,4.8
Basreng Sangarrr,19900,The Little Snacks,Tangerang Selatan,750,4.7
